#,Company,Symbol,Weight,Price,Chg,% Chg
435,NRG Energy Inc.,NRG,0.034476,37.88,0.05,(0.13%)
436,J.B. Hunt Transport Services Inc.,JBHT,0.034466,112.52,0.49,(0.44%)
437,DISH Network Corporation Class A,DISH,0.033959,36.78,-0.12,(-0.33%)
438,Advance Auto Parts Inc.,AAP,0.033567,132.93,-1.44,(-1.07%)
439,Albemarle Corporation,ALB,0.033413,82.00,-4.95,(-5.69%)
440,CF Industries Holdings Inc.,CF,0.033227,42.17,-0.08,(-0.19%)
441,Comerica Incorporated,CMA,0.032896,62.06,-1.21,(-1.91%)
442,Iron Mountain Inc.,IRM,0.032887,31.93,-0.00,(-0.00%)
443,DXC Technology Co.,DXC,0.032655,32.70,-1.93,(-5.57%)
444,Federal Realty Investment Trust,FRT,0.032318,128.02,-0.64,(-0.50%)
445,Devon Energy Corporation,DVN,0.032311,22.97,-0.16,(-0.69%)
446,Interpublic Group of Companies Inc.,IPG,0.03225,23.02,-0.19,(-0.82%)
447,Snap-on Incorporated,SNA,0.032009,155.74,-4.32,(-2.70%)
448,ABIOMED Inc.,ABMD,0.031695,186.00,-10.01,(-5.11%)
449,Assurant Inc.,AIZ,0.030138,136.36,0.07,(0.05%)
450,National Oilwell Varco Inc.,NOV,0.030119,24.75,2.86,(13.07%)
451,Kimco Realty Corporation,KIM,0.029466,19.62,-0.05,(-0.25%)
452,Campbell Soup Company,CPB,0.02927,48.88,0.72,(1.50%)
453,Perrigo Co. Plc,PRGO,0.028942,59.91,0.88,(1.49%)
454,Zions Bancorporation N.A.,ZION,0.028905,46.23,-0.78,(-1.66%)
455,Tapestry Inc.,TPR,0.028861,27.96,-1.04,(-3.59%)
456,Apartment Investment & Management Co Class A,AIV,0.028666,53.00,-0.49,(-0.92%)
457,Juniper Networks Inc.,JNPR,0.028419,23.80,0.68,(2.94%)
458,Alaska Air Group Inc.,ALK,0.028379,63.96,-0.06,(-0.09%)
459,Mohawk Industries Inc.,MHK,0.028154,127.01,-3.49,(-2.67%)
460,Newell Brands Inc,NWL,0.028131,20.06,-0.16,(-0.79%)
461,SL Green Realty Corp.,SLG,0.027973,94.11,-0.14,(-0.15%)
462,DaVita Inc.,DVA,0.027119,81.34,-1.73,(-2.08%)
463,Pentair plc,PNR,0.026855,43.64,-0.71,(-1.60%)
464,Nielsen Holdings Plc,NLSN,0.026778,21.29,0.09,(0.42%)
465,F5 Networks Inc.,FFIV,0.026642,123.58,-0.02,(-0.02%)
466,Franklin Resources Inc.,BEN,0.026491,25.60,-0.48,(-1.84%)
467,TechnipFMC Plc,FTI,0.026466,16.82,-0.67,(-3.83%)
468,Mosaic Company,MOS,0.026205,20.25,-0.62,(-2.97%)
469,FLIR Systems Inc.,FLIR,0.026068,53.05,-0.91,(-1.69%)
470,People's United Financial Inc.,PBCT,0.025825,15.92,-0.19,(-1.18%)
471,Xerox Holdings Corporation,XRX,0.025812,37.17,-0.51,(-1.35%)
472,Kohl's Corporation,KSS,0.025751,43.80,-1.15,(-2.56%)
473,Robert Half International Inc.,RHI,0.025447,59.23,-0.84,(-1.40%)
474,Invesco Ltd.,IVZ,0.025228,18.18,-0.02,(-0.11%)
475,BorgWarner Inc.,BWA,0.024987,33.57,-0.19,(-0.56%)
476,PVH Corp.,PVH,0.023713,86.45,-2.43,(-2.73%)
477,HollyFrontier Corporation,HFC,0.023675,43.52,0.08,(0.18%)
478,Flowserve Corporation,FLS,0.022575,47.06,-1.88,(-3.84%)
